"IP";"OS"
"10.117.97.114";"FreeBSD 10.1-RELEASE|FreeBSD 7.0-RELEASE-p1 - 10.0-CURRENT|FreeBSD 7.1-RELEASE|FreeBSD 8.0-STABLE|FreeBSD 9.0-RELEASE|FreeBSD 9.2-RELEASE-p3|FreeBSD 7.0-BETA4 - 7.0|FreeBSD 7.2-RELEASE|FreeBSD 7.0-RELEASE|FreeBSD 7.0-RELEASE-p2 - 7.1-PRERELEASE"

"10.117.97.117";"FreeBSD 7.0-BETA4|FreeBSD 8.0-CURRENT|FreeBSD 7.0-RELEASE|OpenBSD 4.6|OpenBSD 5.3|OpenBSD 4.7|OpenBSD 5.0|OpenBSD 6.0|OpenBSD 6.1|OpenBSD 4.9"

"10.117.97.118";"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.119";"Juniper EX2200 switch (JUNOS 12)|Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.120";"Linux 2.6.32 - 3.10"

"10.117.97.124";"Microsoft Windows 7 SP0 - SP1, Windows Server 2008 SP1, Windows Server 2008 R2, Windows 8, or Windows 8.1 Update 1"

"10.117.97.127";"Linux 2.6.32 - 3.10"

"10.117.97.128";"Linux 3.2 - 4.9"

"10.117.97.129";"Linux 3.2 - 4.9"

"10.117.97.130";"Linux 3.2 - 4.9"

"10.117.97.131";"Linux 3.2 - 4.9"

"10.117.97.132";"Linux 3.2 - 4.9"

"10.117.97.133";"Linux 3.2 - 4.9"

"10.117.97.135";"Linux 3.2 - 4.9"

"10.117.97.136";"Linux 3.2 - 4.9|Linux 3.10 - 4.11|Linux 2.6.32 - 3.13|Linux 4.10|Linux 4.5|Asus RT-AC66U WAP|Linux 3.10|Linux 3.2|Linux 2.6.32|Linux 3.13"

"10.117.97.137";"Cisco IOS XR 5.1.2|Cisco IOS XR 4.1.1|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco 877 router (IOS 12.4)|Cisco ASR 9010 router|Huawei CloudEngine CE6800 switch|Huawei S9300 switch|Huawei VRP 5.160|Cisco 1841 router (IOS 12)|Cisco 1841 router (IOS 12.4)"

"10.117.97.138";""

"10.117.97.139";"Linux 2.6.18 - 2.6.31"

"10.117.97.141";"Linux 3.10 - 4.11|Linux 3.2 - 4.9|Linux 3.11 - 4.1|Linux 3.10 - 3.16|Linux 4.4|Linux 3.2.0|Linux 3.13|Linux 3.16"

"10.117.97.143";"Cisco IOS XR 5.1.2|Cisco IOS XR 4.1.1|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco 877 router (IOS 12.4)|Cisco ASR 9010 router|Huawei CloudEngine CE6800 switch|Huawei S9300 switch|Huawei VRP 5.160|Cisco 1841 router (IOS 12)|Cisco 1841 router (IOS 12.4)"

"10.117.97.147";"Linux 3.10 - 4.11|Linux 3.2 - 4.9|Linux 4.0|Linux 3.10 - 3.12|Linux 4.4|Linux 3.10|Linux 4.9|Linux 3.10 - 3.16"

"10.117.97.150";"Linux 3.10 - 4.11|Linux 3.2 - 4.9"

"10.117.97.151";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3870|Dell PowerConnect 3248 switch|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch|Enterasys Matrix N7 switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3812|SMC TigerStack III 6824M switch"

"10.117.97.153";"3Com SuperStack 3 Switch 3870|Cisco Nexus 5000 switch|Cisco Nexus switch (NX-OS 5)|Linux 2.6.24|Cisco Nexus 7000 switch (NX-OS 4.2(4))|Cisco Nexus switch (NX-OS 5 or 6.0(2))|Cisco Nexus 7000 switch (NX-OS 6.0)|Oki B711 printer|APC Smart-UPS (AOS 5.1.1)|Lexmark 1400-series printer"

"10.117.97.156";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3870|Dell PowerConnect 3248 switch|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch|Enterasys Matrix N7 switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3812|SMC TigerStack III 6824M switch"

"10.117.97.157";"Linux 2.6.9 - 2.6.30"

"10.117.97.158";"Linux 3.10 - 4.11|Linux 3.2 - 4.9"

"10.117.97.159";""

"10.117.97.160";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3870|Dell PowerConnect 3248 switch|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch|Enterasys Matrix N7 switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3812|SMC TigerStack III 6824M switch"

"10.117.97.161";"Linux 2.6.32 - 3.10"

"10.117.97.162";"Linux 3.10 - 4.11|Linux 3.2 - 4.9"

"10.117.97.163";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Enterasys Matrix N7 switch|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3812|Dell PowerConnect 3248 switch|SMC TigerStack III 6824M switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3870|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch"

"10.117.97.164";"Enterasys Matrix X-series router (Linux 2.4)|Linux 2.6.24 - 2.6.26 (Debian)|Linux 2.6.8 - 2.6.30|Cisco MDS 9000 switch|Linux 2.6.22 (Ubuntu, x86)|Linux 2.6.27 (Ubuntu 8.10)|Cisco NX-OS 6.2|Crestron XPanel control system|Avocent ACS5016 console server (Linux 2.6.22)|Asus RT-AC66U router (Linux 2.6)"

"10.117.97.165";"Linux 3.12 - 4.10|Linux 3.16|ASUS RT-N56U WAP (Linux 3.4)|Linux 3.1|Linux 3.2|AXIS 210A or 211 Network Camera (Linux 2.6.17)|Linux 3.10 - 4.1|Linux 3.2.0|Linux 2.6.32|Linux 3.10"

"10.117.97.170";"HP iLO 4 remote management interface"

"10.117.97.171";"HP iLO 4 remote management interface"

"10.117.97.173";"Cisco IOS XR 5.1.2|Cisco IOS XR 4.1.1|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco 877 router (IOS 12.4)|Huawei CloudEngine CE6800 switch|3Com SuperStack 3 Switch 3870"

"10.117.97.174";"Cisco IOS XR 5.1.2|Cisco IOS XR 4.1.1|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco 877 router (IOS 12.4)|Huawei CloudEngine CE6800 switch|3Com SuperStack 3 Switch 3870"

